State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Y.S.R.,2023-07-12,2023,7,2.1000013262,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-13,2023,7,2.329439806,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-14,2023,7,2.7627735635,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-15,2023,7,0.0386040996,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-16,2023,7,1.0600652066,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-17,2023,7,0.0006758197,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-18,2023,7,3.5736472892,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-19,2023,7,1.1060351858,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-20,2023,7,2.4566975542,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-21,2023,7,3.0251769701,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-22,2023,7,0.413932581,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-23,2023,7,4.0103461481,IMD GRID MODEL
