id,date,year,month,state_code,state_name,actual_rainfall_mm,rfs_raw,normal_rainfall_mm,deviation_pct,no_actual_rainfall_reported
6839,2009-07-15,2009,7,35,Andaman And Nicobar Islands,,0.0,11.77,,True
6874,2009-07-16,2009,7,35,Andaman And Nicobar Islands,,0.0,10.31,,True
6909,2009-07-17,2009,7,35,Andaman And Nicobar Islands,,0.0,10.73,,True
6944,2009-07-18,2009,7,35,Andaman And Nicobar Islands,,0.0,10.03,,True
6979,2009-07-19,2009,7,35,Andaman And Nicobar Islands,,0.0,13.47,,True
7014,2009-07-20,2009,7,35,Andaman And Nicobar Islands,,0.0,11.77,,True
7049,2009-07-21,2009,7,35,Andaman And Nicobar Islands,,0.0,13.2,,True
7084,2009-07-22,2009,7,35,Andaman And Nicobar Islands,,0.0,15.23,,True
7119,2009-07-23,2009,7,35,Andaman And Nicobar Islands,,0.0,11.21,,True
7154,2009-07-24,2009,7,35,Andaman And Nicobar Islands,,0.0,9.26,,True
7189,2009-07-25,2009,7,35,Andaman And Nicobar Islands,,0.0,8.01,,True
7224,2009-07-26,2009,7,35,Andaman And Nicobar Islands,,0.0,12.05,,True
7259,2009-07-27,2009,7,35,Andaman And Nicobar Islands,,0.0,12.42,,True
7294,2009-07-28,2009,7,35,Andaman And Nicobar Islands,,0.0,13.6,,True
7329,2009-07-29,2009,7,35,Andaman And Nicobar Islands,,0.0,13.01,,True
7364,2009-07-30,2009,7,35,Andaman And Nicobar Islands,,0.0,12.17,,True
7399,2009-07-31,2009,7,35,Andaman And Nicobar Islands,,0.0,10.44,,True
7434,2009-08-01,2009,8,35,Andaman And Nicobar Islands,,0.0,11.12,,True
7469,2009-08-02,2009,8,35,Andaman And Nicobar Islands,,0.0,9.53,,True
7504,2009-08-03,2009,8,35,Andaman And Nicobar Islands,,0.0,8.42,,True
7539,2009-08-04,2009,8,35,Andaman And Nicobar Islands,,0.0,8.54,,True
7574,2009-08-05,2009,8,35,Andaman And Nicobar Islands,,0.0,8.99,,True
7609,2009-08-06,2009,8,35,Andaman And Nicobar Islands,,0.0,12.6,,True
7644,2009-08-07,2009,8,35,Andaman And Nicobar Islands,,0.0,12.96,,True
7679,2009-08-08,2009,8,35,Andaman And Nicobar Islands,,0.0,13.28,,True
7714,2009-08-09,2009,8,35,Andaman And Nicobar Islands,,0.0,10.62,,True
7749,2009-08-10,2009,8,35,Andaman And Nicobar Islands,,0.0,12.13,,True
7784,2009-08-11,2009,8,35,Andaman And Nicobar Islands,,0.0,12.32,,True
7819,2009-08-12,2009,8,35,Andaman And Nicobar Islands,,0.0,12.75,,True
7854,2009-08-13,2009,8,35,Andaman And Nicobar Islands,,0.0,8.67,,True
7889,2009-08-14,2009,8,35,Andaman And Nicobar Islands,,0.0,7.37,,True
7924,2009-08-15,2009,8,35,Andaman And Nicobar Islands,,0.0,9.88,,True
7959,2009-08-16,2009,8,35,Andaman And Nicobar Islands,,0.0,10.99,,True
7994,2009-08-17,2009,8,35,Andaman And Nicobar Islands,,0.0,9.78,,True
8029,2009-08-18,2009,8,35,Andaman And Nicobar Islands,,0.0,16.77,,True
8064,2009-08-19,2009,8,35,Andaman And Nicobar Islands,,0.0,13.47,,True
8099,2009-08-20,2009,8,35,Andaman And Nicobar Islands,,0.0,11.68,,True
8134,2009-08-21,2009,8,35,Andaman And Nicobar Islands,,0.0,10.5,,True
8169,2009-08-22,2009,8,35,Andaman And Nicobar Islands,,0.0,10.25,,True
8204,2009-08-23,2009,8,35,Andaman And Nicobar Islands,,0.0,10.01,,True
8239,2009-08-24,2009,8,35,Andaman And Nicobar Islands,,0.0,8.16,,True
8274,2009-08-25,2009,8,35,Andaman And Nicobar Islands,,0.0,10.08,,True
8309,2009-08-26,2009,8,35,Andaman And Nicobar Islands,,0.0,10.43,,True
8344,2009-08-27,2009,8,35,Andaman And Nicobar Islands,,0.0,12.06,,True
8379,2009-08-28,2009,8,35,Andaman And Nicobar Islands,,0.0,11.03,,True
8414,2009-08-29,2009,8,35,Andaman And Nicobar Islands,,0.0,10.69,,True
8449,2009-08-30,2009,8,35,Andaman And Nicobar Islands,,0.0,9.94,,True
8484,2009-08-31,2009,8,35,Andaman And Nicobar Islands,,0.0,10.55,,True
8519,2009-09-01,2009,9,35,Andaman And Nicobar Islands,,0.0,10.04,,True
8554,2009-09-02,2009,9,35,Andaman And Nicobar Islands,,0.0,10.9,,True
8589,2009-09-03,2009,9,35,Andaman And Nicobar Islands,,0.0,11.76,,True
8624,2009-09-04,2009,9,35,Andaman And Nicobar Islands,,0.0,11.62,,True
8659,2009-09-05,2009,9,35,Andaman And Nicobar Islands,,0.0,11.36,,True
8694,2009-09-06,2009,9,35,Andaman And Nicobar Islands,,0.0,11.95,,True
8729,2009-09-07,2009,9,35,Andaman And Nicobar Islands,,0.0,12.47,,True
8764,2009-09-08,2009,9,35,Andaman And Nicobar Islands,,0.0,13.91,,True
8799,2009-09-09,2009,9,35,Andaman And Nicobar Islands,,0.0,13.71,,True
8834,2009-09-10,2009,9,35,Andaman And Nicobar Islands,,0.0,10.59,,True
8869,2009-09-11,2009,9,35,Andaman And Nicobar Islands,,0.0,9.12,,True
8904,2009-09-12,2009,9,35,Andaman And Nicobar Islands,,0.0,10.52,,True
8939,2009-09-13,2009,9,35,Andaman And Nicobar Islands,,0.0,11.71,,True
8974,2009-09-14,2009,9,35,Andaman And Nicobar Islands,,0.0,10.76,,True
9009,2009-09-15,2009,9,35,Andaman And Nicobar Islands,,0.0,10.68,,True
9044,2009-09-16,2009,9,35,Andaman And Nicobar Islands,,0.0,14.77,,True
9079,2009-09-17,2009,9,35,Andaman And Nicobar Islands,,0.0,11.76,,True
9114,2009-09-18,2009,9,35,Andaman And Nicobar Islands,,0.0,11.49,,True
9149,2009-09-19,2009,9,35,Andaman And Nicobar Islands,,0.0,17.03,,True
9184,2009-09-20,2009,9,35,Andaman And Nicobar Islands,,0.0,15.97,,True
9219,2009-09-21,2009,9,35,Andaman And Nicobar Islands,,0.0,13.94,,True
9254,2009-09-22,2009,9,35,Andaman And Nicobar Islands,,0.0,10.6,,True
9289,2009-09-23,2009,9,35,Andaman And Nicobar Islands,,0.0,9.52,,True
9324,2009-09-24,2009,9,35,Andaman And Nicobar Islands,,0.0,13.27,,True
9359,2009-09-25,2009,9,35,Andaman And Nicobar Islands,,0.0,16.18,,True
9394,2009-09-26,2009,9,35,Andaman And Nicobar Islands,,0.0,15.67,,True
9429,2009-09-27,2009,9,35,Andaman And Nicobar Islands,,0.0,17.08,,True
9464,2009-09-28,2009,9,35,Andaman And Nicobar Islands,,0.0,15.87,,True
9499,2009-09-29,2009,9,35,Andaman And Nicobar Islands,,0.0,16.14,,True
9534,2009-09-30,2009,9,35,Andaman And Nicobar Islands,,0.0,13.14,,True
9569,2009-10-01,2009,10,35,Andaman And Nicobar Islands,,0.0,12.29,,True
9604,2009-10-02,2009,10,35,Andaman And Nicobar Islands,,0.0,13.81,,True
9639,2009-10-03,2009,10,35,Andaman And Nicobar Islands,,0.0,13.99,,True
9674,2009-10-04,2009,10,35,Andaman And Nicobar Islands,,0.0,13.68,,True
9709,2009-10-05,2009,10,35,Andaman And Nicobar Islands,,0.0,13.87,,True
9744,2009-10-06,2009,10,35,Andaman And Nicobar Islands,,0.0,14.79,,True
9779,2009-10-07,2009,10,35,Andaman And Nicobar Islands,,0.0,11.34,,True
9814,2009-10-08,2009,10,35,Andaman And Nicobar Islands,,0.0,9.86,,True
9849,2009-10-09,2009,10,35,Andaman And Nicobar Islands,,0.0,10.69,,True
9884,2009-10-10,2009,10,35,Andaman And Nicobar Islands,,0.0,9.27,,True
9919,2009-10-11,2009,10,35,Andaman And Nicobar Islands,,0.0,7.32,,True
9954,2009-10-12,2009,10,35,Andaman And Nicobar Islands,,0.0,10.81,,True
9989,2009-10-13,2009,10,35,Andaman And Nicobar Islands,,0.0,9.61,,True
10024,2009-10-14,2009,10,35,Andaman And Nicobar Islands,,0.0,13.72,,True
10059,2009-10-15,2009,10,35,Andaman And Nicobar Islands,,0.0,13.09,,True
10094,2009-10-16,2009,10,35,Andaman And Nicobar Islands,,0.0,10.54,,True
10129,2009-10-17,2009,10,35,Andaman And Nicobar Islands,,0.0,8.67,,True
10164,2009-10-18,2009,10,35,Andaman And Nicobar Islands,,0.0,8.44,,True
10199,2009-10-19,2009,10,35,Andaman And Nicobar Islands,,0.0,7.35,,True
10234,2009-10-20,2009,10,35,Andaman And Nicobar Islands,,0.0,6.69,,True
10269,2009-10-21,2009,10,35,Andaman And Nicobar Islands,,0.0,8.89,,True
10304,2009-10-22,2009,10,35,Andaman And Nicobar Islands,,0.0,7.43,,True
10339,2009-10-23,2009,10,35,Andaman And Nicobar Islands,,0.0,7.29,,True
